DATE;SP500;NASDAQ,AAPL;NASDAQ,AMZN;NASDAQ,GOOGL
1491226200;2363,6101;143,68;888,55;847,83
1491226260;2364,1001;143,7;887,1173;852,17
1491226320;2362,6799;143,6901;887,511;854,28
1491226380;2364,3101;143,64;886,27;852,78
1491226440;2364,8501;143,66;886,58;854,75
1491226500;2365,6201;143,78;886,8;853,97
1491226560;2365,2;143,864;887,31;854,25
1491226620;2365,29;143,81;888,5997;854,825
1491226680;2364,3201;143,815;889,8;855,28
1491226740;2364,6399;143,8;888,845;855,5775
1491226800;2364,5801;143,89;890,22;855,63
1491226860;2364,48;143,97;891,147;855,55
1491226920;2365,23;143,9199;890,47;854,58
1491226980;2365,6599;144,0239;891,45;855,51
1491227040;2365,24;144,05;891,79;855,36
1491227100;2365,3201;144,0638;891,12;855,12
1491227160;2364,96;144,02;891,23;855,09
1491227220;2364,3999;144,02;890,3869;854,54
1491227280;2364,74;143,97;890,14;854,36
1491227340;2363,9399;144,03;890,45;854,94
1491227400;2363,8799;143,98;889,99;854,655
1491227460;2363,6001;143,9;889,71;854,5
1491227520;2364,04;143,91;890,225;854,19
1491227580;2363,8301;143,91;890,4885;854,04
1491227640;2363,8501;143,86;890,75;854,215
1491227700;2363,03;143,86;891,03;853,98
1491227760;2363,25;143,8935;890,5709;853,455
1491227820;2362,8701;143,93;890,18;853,75
1491227880;2363,03;143,95;889,84;853,485
1491227940;2363,0601;143,87;890,29;853,7
1491228000;2363,9399;143,85;890,11;852,99
1491228060;2363,6101;143,91;890,42;853,825
1491228120;2363,47;143,91;890,87;853,75
1491228180;2363,74;143,93;890,28;853,97
1491228240;2363,4099;144;890,46;854,04
1491228300;2362,51;144,05;890,85;854,39
1491228360;2359,95;143,97;890,32;853,7737
1491228420;2359,3999;143,82;889,21;853,24
1491228480;2359,52;143,7627;888,72;853,12
1491228540;2359,77;143,76;888,6;852,84
1491228600;2357,8799;143,73;888,51;853,28
1491228660;2358,3201;143,62;887,91;852,68
1491228720;2357,97;143,56;887,65;852,425
1491228780;2358,8701;143,58;888;851,765
1491228840;2358,9099;143,77;888,5;852,43
1491228900;2359,01;143,709;889,2799;852,59
1491228960;2359,1799;143,68;889,35;852,255
1491229020;2359,96;143,75;889,58;852,395
1491229080;2359,9199;143,8393;890,14;852,73
1491229140;2359,8101;143,82;891,1499;852,9732
1491229200;2359,5801;143,89;890,99;852,95
1491229260;2359,9399;143,8;891,25;852,97
1491229320;2360,78;143,8101;891,5078;853,3764
1491229380;2360,46;143,84;891,669;853,49
1491229440;2360,6799;143,815;892;853,5
1491229500;2361,73;143,87;892,1397;853,24
1491229560;2361,5901;143,97;892,545;853,29
